70 6F 72 74 3D 74 61 72 67 65 74 2e 74 78 74 00
        90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
        90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
        90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
        90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
        90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
        90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
        90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
        90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
        90 90 90 90 90 90 90 90 10 CF FF FF FF 7F 00 00
        B8 57 00 00 00 48 BF 75 CE FF FF FF 7F 00 00 0F 05
